loss->,,,,,,,train_acc,,,,,,,test_acc,,,,,,,,,,,,
epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,epoch,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC,,,Conv_1x1x9,CoL,Conv_3x3x2,Conv_3x3x9,FC
38,0.856868744,,0.630809844,0.218124688,1.271134615,,38,99.90000153,,99.90000153,99.94999695,97.16666412,,38,99.90000153,,99.69999695,100,89.40000153,,,,,,,
39,0.808611929,,0.599516809,0.198089853,1.228956938,,39,99.90000153,,99.90000153,99.96666718,97.58333588,,39,99.90000153,,99.69999695,100,89.5,,,,,,,
40,0.763402879,,0.57021749,0.180080965,1.190338492,,40,99.90000153,,99.91666412,99.96666718,97.33333588,,40,99.90000153,,99.69999695,100,89.90000153,,,,,,,
41,0.720255792,,0.542750776,0.164225921,1.154652476,,41,99.90000153,,99.91666412,99.96666718,97.6166687,,41,99.90000153,,99.69999695,100,90.19999695,,,,,,,
42,0.679529548,,0.516765237,0.149679348,1.121314168,,42,99.90000153,,99.91666412,99.96666718,97.53333282,,42,99.90000153,,99.69999695,100,89.59999847,,,,,,,
43,0.641050756,,0.492839366,0.136572599,1.084714174,,43,99.90000153,,99.90000153,99.96666718,97.8666687,,43,99.90000153,,99.69999695,100,90,,,,,,,
44,0.604793251,,0.469966114,0.124403641,1.049930215,,44,99.90000153,,99.91666412,99.96666718,97.80000305,,44,99.90000153,,99.69999695,100,90.19999695,,,,,,,
45,0.570767939,,0.448390901,0.113800086,1.01898551,,45,99.90000153,,99.91666412,99.96666718,97.73332977,,45,99.90000153,,99.69999695,100,89.69999695,,,,,,,
46,0.538516581,,0.427832067,0.104012303,0.989077985,,46,99.90000153,,99.91666412,99.98332977,98.01667023,,46,99.90000153,,99.69999695,100,90.40000153,,,,,,,
47,0.508009434,,0.408946931,0.095162243,0.959969819,,47,99.91666412,,99.91666412,99.98332977,98.23332977,,47,99.90000153,,99.69999695,100,90.19999695,,,,,,,
48,0.47940436,,0.390671968,0.087290883,0.933721066,,48,99.93333435,,99.91666412,99.98332977,98.31666565,,48,99.90000153,,99.69999695,100,90.59999847,,,,,,,
49,0.452551693,,0.37378484,0.07992503,0.903936207,,49,99.93333435,,99.91666412,99.98332977,97.96666718,,49,99.90000153,,99.69999695,100,89.80000305,,,,,,,
50,0.42724058,,0.357898384,0.073475823,0.880462766,,50,99.93333435,,99.91666412,99.98332977,98.48332977,,50,99.90000153,,99.69999695,100,89.90000153,,,,,,,
51,0.403714448,,0.342967927,0.06757284,0.852170229,,51,99.93333435,,99.91666412,100,98.55000305,,51,99.90000153,,99.69999695,100,90.5,,,,,,,
52,0.381622642,,0.329047352,0.062331513,0.829680443,,52,99.93333435,,99.91666412,99.98332977,98.3666687,,52,99.90000153,,99.69999695,100,91.09999847,,,,,,,
53,0.361115158,,0.315679491,0.057130031,0.806752324,,53,99.91666412,,99.91666412,99.98332977,98.69999695,,53,99.90000153,,99.69999695,100,90.19999695,,,,,,,
54,0.341746569,,0.303324789,0.052918807,0.784502804,,54,99.94999695,,99.91666412,99.98332977,98.68333435,,54,99.90000153,,99.69999695,100,90.5,,,,,,,
55,0.323833525,,0.291503996,0.049118638,0.757399321,,55,99.93333435,,99.91666412,100,98.68333435,,55,99.90000153,,99.69999695,100,90.40000153,,,,,,,
56,0.306854755,,0.279917926,0.045455165,0.73783052,,56,99.93333435,,99.91666412,100,98.73332977,,56,99.90000153,,99.69999695,100,90.30000305,,,,,,,
57,0.290805936,,0.269522905,0.042209338,0.717148304,,57,99.93333435,,99.93333435,99.98332977,98.78333282,,57,99.90000153,,99.69999695,100,90.40000153,,,,,,,
58,0.275813997,,0.259806246,0.03919128,0.700823307,,58,99.94999695,,99.91666412,100,99,,58,99.90000153,,99.69999695,100,91,,,,,,,
59,0.261761248,,0.250391871,0.036444496,0.679166019,,59,99.94999695,,99.91666412,99.98332977,98.98332977,,59,99.90000153,,99.69999695,100,90.5,,,,,,,
60,0.248389378,,0.241502672,0.034016643,0.663230658,,60,99.94999695,,99.91666412,100,98.93333435,,60,99.90000153,,99.69999695,100,90.69999695,,,,,,,
61,0.235943988,,0.233095437,0.031589385,0.645665765,,61,99.94999695,,99.93333435,99.98332977,99.1166687,,61,99.90000153,,99.69999695,100,91,,,,,,,
62,0.224346653,,0.225116283,0.029590301,0.625168264,,62,99.94999695,,99.91666412,100,99.1333313,,62,99.90000153,,99.69999695,100,90.59999847,,,,,,,
63,0.213353664,,0.217763871,0.027747843,0.608673751,,,99.94999695,,99.91666412,,99.03333282,,,99.90000153,,99.69999695,,90.90000153,,,,,,,
64,0.203176171,,0.210506305,,0.593217254,,,99.94999695,,99.91666412,,99.1333313,,,99.90000153,,99.69999695,,90.19999695,,,,,,,
65,0.193459556,,0.203783765,,0.578150451,,,99.94999695,,99.91666412,,99.21666718,,,99.90000153,,99.69999695,,90.59999847,,,,,,,
66,0.184474021,,0.197298005,,0.56048876,,,99.94999695,,99.91666412,,99.19999695,,,99.90000153,,99.69999695,,91,,,,,,,
67,0.175999984,,0.19114998,,0.546403587,,,99.96666718,,99.94999695,,99.28333282,,,99.90000153,,99.69999695,,90.59999847,,,,,,,
68,0.168036431,,0.185321555,,0.533493221,,,99.94999695,,99.94999695,,99.33333588,,,99.90000153,,99.69999695,,90.40000153,,,,,,,
